token,matched_cause,icd_code,match_method,method,notes
p right hemicolectomy,,,none,,
p right heminephrectomy on 2,,,none,,
P right hip fracture,,,none,,
p right ICA stent,,,none,,
p right ICA stenting in 07,,,none,,
P right knee arthroscopy,,,none,,
P right knee surgery,,,none,,
P right mastectomy,,,none,,
p right nephrectomy,,,none,,
p right nephrectomy - 2006),,,none,,
p right radical nephrectomy 1,,,none,,
P right rotator cuff repair,,,none,,
P right total knee arthroplasty,,,none,,
P RIGHT TRANSCAROTID TAVR WITH 23 MM SAPIEN-3 VALVE BY DR. ALNAJJAR AND DR. AMBULGEKAR and DR. SBAHI ON 7,,,none,,
P right Transcatheter Aortic Valve Replacement Carotid Approach with Edwards 23mm Sapien 3 Ultra Transcatheter Heart Valve,,,none,,
p Right Transfemoral TAVR with 23 mm SAPIEn-3 Valve by Dr. Daly and Dr. Sbhai on 8,,,none,,
p Right Transfemoral TAVR with 26 mm Sapien-3 Valve by Dr. Alnajjar and Dr. Engel on 10,,,none,,
p Right Transfemoral TAVR with Sapien-3 Valve by Dr. Alnajjar and Dr. O'neill on 9,,,none,,
p Right Transfemoral TAVR with Sapien-3 Valve by Drs. Alnajjar,,,none,,
P right unicompartmental knee replacement,,,none,,
P Robitically Assisted CABG x 1 with LITA to LAD by Dr Alnajjar 4,,,none,,
P robot-assisted adrenalectomy,,,none,,
P ROBOT-ASSISTED CORONARY ARTERY BYPASS GRAFT X1,,,none,,
P Robot-assisted laparoscopic sacrocolpopexy,,,none,,
P robot-assisted surgical procedure,,,none,,
p Robotic Assisted CABG X 1 ( LIMA To LA D ),,,none,,
P Robotic CABG Lima to the LAD,,,none,,
p Robotic CABG x 1,,,none,,
P Robotic CABG x 1 (Lima to the LAD),,,none,,
p ROBOTICALLY ASSIs,,,none,,
P ROBOTICALLY ASSISTED CORONARY ARTERY BYPASS GRAFT SURGERY x 1: LITA to LAD,,,none,,
p ROBOTICALLY ASSISTED CORONARY ARTERY BYPASS GRAFT SURGERY X1,,,none,,
P ROBOTICALLY ASSISTED CORONARY ARTERY BYPASS GRAFT x1 SURGERY by Dr. Alnajjar 9,,,none,,
P rotator cuff surgery,,,none,,
p RTH,,,none,,
P RV lead revision,,,none,,
p SB,,,none,,
P secondary prevention ICD,,,none,,
p septal ablation 2018,,,none,,
p Septal myectomy,,,none,,
P shoulder replacement,,,none,,
P shoulder surgery,,,none,,
p single left lung txp for IPF on 9,,,none,,
p small bowel obstruction,,,none,,
P small bowel resection,,,none,,
P spinal fusion,,,none,,
P spinal surgery,,,none,,
p ST PRP 2008,,,none,,
p stent,,,none,,
P steriotactic radiation at 40 y of age,,,none,,
P Subcutaneous ICD,,,none,,
p surgery,,,none,,
P surgical manipulation of ankle joint,,,none,,
P surgical manipulation of knee joint,,,none,,
p SVG ablation BL,,,none,,
p T10-12,,,none,,
P TAH (total abdominal hysterectomy),,,none,,
p TAVR,,,none,,
p TAVR (transcatheter aortic valve replacement),,,none,,
P TAVR (transcatheter aortic valve replacement) right transfemoral 12,,,none,,
P TAVR (transcatheter aortic valve replacement)-October 5,,,none,,
p TAVR on 05,,,none,,
P TAVR via Left Tranfemoral with 23 mm Sapien-3 Valve by Drs. Ambulgekar and Alnajjar on 5,,,none,,
P TAVR with Edwards 26 mm S3 Valve,,,none,,
p TAVR with S3 Ultra 2020,,,none,,
p TEVAR 7,,,none,,
P thoracic laminectomy of T3-T4 with removal of meningioma,,,none,,
P Thoracotomoy 2013,,,none,,
p thrombectomy in 5,,,none,,
P thromboctomy,,,none,,
P thyroidectomy,,,none,,
p TKA 4,,,none,,
P TKR (total knee replacement),,,none,,
P TKR (total knee replacement) using cement,,,none,,
p TNK and MER on 1,,,none,,
p TNK on 12,,,none,,
P tonsillectomy for recurrent right tonsillar cancer,,,none,,
P total colectomy,,,none,,
P total hip arthroplasty,,,none,,
P total hip arthroplasty (RIGHT ~ 4,,,none,,
P total hysterectomy,,,none,,
P total knee arthroplasty,,,none,,
p total knee replacement,,,none,,
P total knee replacement using cement,,,none,,
P total left hip arthroplasty,,,none,,
p total right hip arthroplasty,,,none,,
P total thyroidectomy,,,none,,
P transcatheter mitral valve replacement (TMVR),,,none,,
P tricuspid valve replacement,,,none,,
P trigger finger release,,,none,,
P triple vessel bypass,,,none,,
p TURP,,,none,,
P TURP (status post transurethral resection of prostate),,,none,,
P TURP (status post transurethral resection of prostate)  2014,,,none,,
P TURP (status post transurethral resection of prostate) 2013,,,none,,
P TURP (status post transurethral resection of prostate) 3,,,none,,
P TVR (tricuspid valve repair),,,none,,
P TVR (tricuspid valve replacement),,,none,,
P umbilical hernia repair,,,none,,
P upgrade to secondary prevention ICD,,,none,,
P Urgent CABG x 4 with ligation of left atrial appendage,,,none,,
P vaginal hysterectomy,,,none,,
p valve-in-valve TMVR,,,none,,
p vein ablation on 7,,,none,,
P VP shunt,,,none,,
P Watchman,,,none,,
p Watchman device 9,,,none,,
p Watchman on 6,,,none,,
p Whipple,,,none,,
p window,,,none,,
P XI Robot-Assisted Coronary Artery Bypass Graft,,,none,,
p XI ROBOTIC MITRAL REPLACEMENT,,,none,,
p XI ROBOTICALLY ASSISTED MITRAL VALVE REPAIR with 28mm PHYSIO II RING,,,none,,
p XI ROBOTICALLY ASSISTED MITRAL VALVE REPLACEMENT MITRIS 31MM,,,none,,
p XRT,,,none,,
P YAG capsulotomy,,,none,,
P. vera,,,none,,
p.(I157T),,,none,,
P...,,,none,,
PAC (premature atrial contraction),,,none,,
Pacemaker,,,none,,
Pacemaker 7,,,none,,
Pacemaker and CCM device,,,none,,
Pacemaker battery depletion,,,none,,
Pacemaker malfunction,,,none,,
pacemaker placed,,,none,,
Pacemaker-05,,,none,,
Pacemaker-dual-chamber 4,,,none,,
Pacemaker= 7,,,none,,
PAD (peripheral artery disease),,,none,,
PAD (peripheral artery disease) (CMS-hcc),Peripheral Vascular Disease,I73,none,llm,
PAD (peripheral artery disease) (CMS-hcc) followed by vascular surgery,,,none,,
PAD (peripheral artery disease) - Bilateral Iliac Artery Angioplast,,,none,,
PAD (peripheral artery disease) - s,,,none,,
PAD (peripheral artery disease)- s,,,none,,
PAD s,,,none,,
PAF (paroxysmal atrial fibrillation),Arrhythmia,I49,none,llm,
PAF (paroxysmal atrial fibrillation) s,,,none,,
PAF S,,,none,,
Pai...,,,none,,
Pain,,,none,,
Pain and swelling of left lower leg,,,none,,
Pain and swelling of right lower leg,,,none,,
Pain disorder,,,none,,
Pain disorders related to psychological factors,,,none,,
Pain due to bone fixation device,,,none,,
Pain due to malignant neoplasm metastatic to bone,,,none,,
Pain due to total left knee replacement,,,none,,
Pain due to total right knee replacement,,,none,,
Pain from implanted hardware,,,none,,
Pain in axilla,,,none,,
Pain in both feet,,,none,,
Pain in both knees,,,none,,
Pain in both lower extremities,,,none,,
Pain in elbow,,,none,,
Pain in finger of both hands,,,none,,
Pain in finger of left hand,,,none,,
Pain in joint,,,none,,
Pain in joint involving ankle and foot,,,none,,
Pain in joint involving left pelvic region and thigh,,,none,,
Pain in joint involving multiple sites,,,none,,
Pain in joint of left shoulder,,,none,,
Pain in joint of right knee,,,none,,
Pain in joint of right shoulder,,,none,,
Pain in left ankle and joints of left foot,,,none,,
Pain in left arm,,,none,,
Pain in left eye,,,none,,
Pain in left foot,,,none,,
Pain in left knee,,,none,,
Pain in left lower leg,,,none,,
Pain in left shoulder,,,none,,
Pain in limb,,,none,,
Pain in or around eye,,,none,,
Pain in right ankle and joints of right foot,,,none,,
Pain in right arm,,,none,,
Pain in right foot,,,none,,
Pain in right hip,,,none,,
Pain in right knee,,,none,,
Pain in right shoulder,,,none,,
Pain in soft tissues of limb,,,none,,
Pain in the muscles,,,none,,
pain in the spinous process at T11-T12,,,none,,
Pain in thoracic spine,,,none,,
Pain in throat,,,none,,
Pain in toe,,,none,,
Pain in toe of lef...,,,none,,
Pain in toe of left foot,,,none,,
Pain in toe of right foot,,,none,,
Pain in unspecified lower leg,,,none,,
Pain in wrist,,,none,,
Pain of both hip joints,,,none,,
Pain of both sacroiliac joints,,,none,,
Pain of fifth toe left,,,none,,
Pain of joint of left ankle and foot,,,none,,
Pain of knee and lower leg,,,none,,
Pain of knee joint on movement,,,none,,
Pain of left breast,,,none,,
Pain of left calf,,,none,,
Pain of left deltoid,,,none,,
Pain of left forearm,,,none,,
Pain of left hand,,,none,,
Pain of left heel,,,none,,
Pain of left hip,,,none,,
Pain of left hip joint,,,none,,
Pain of left lower extremity,,,none,,
Pain of left sacroiliac joint,,,none,,
Pain of left thigh,,,none,,
Pain of lumbar spine,,,none,,
Pain of right calf,,,none,,
Pain of right hand,,,none,,
Pain of right heel,,,none,,
Pain of right hip,,,none,,
Pain of right hip joint,,,none,,
Pain of right lower extremity,,,none,,
Pain of right lower leg,,,none,,
Pain of right sacroiliac joint,,,none,,
Pain of right scapula,,,none,,
Pain of right upper extremity,,,none,,
Pain of sternum,,,none,,
Pain of submandibular gland,,,none,,
Pain of toe of left foot,,,none,,
Pain of toe of right foot,,,none,,
Pain of upper abdomen,,,none,,
Painful breasts,,,none,,
Painful orthopaedic hardware,,,none,,
Painful respiration,,,none,,
Painless rectal bleeding,,,none,,
Palliative care by specialist,,,none,,
Palliative care encounter,,,none,,
palmar aspect,,,none,,
Palpitation,Arrhythmia,I49,none,llm,variant
Palpitations,Arrhythmia,I49,none,llm,symptom suggesting arrhythmia
Palpitations- seen cardiology,,,none,,
Pancolitis,,,none,,
Pancreas cyst (HHS-...,,,none,,
Pancreatic abscess (HHS-HCC),,,none,,
Pancreatic adenocarcinoma,,,none,,
Pancreatic atrophy (HHS-HCC),,,none,,
Pancreatic cancer,,,none,,
Pancreatic carcinoma metastatic to liver,,,none,,
Pancreatic cyst (HHS-HCC),,,none,,
Pancreatic duct stricture (HHS-HCC),,,none,,
Pancreatic insufficiency (HHS-HCC),,,none,,
Pancreatic lesion (HHS-HCC),,,none,,
Pancreatic mass (HHS-HCC),,,none,,
Pancreatic mass -cystic stable   2017CT scan 4,,,none,,
Pancreatic pseudocyst (HHS-HCC),,,none,,
Pancreatitis,,,none,,
Pancreatitis (HHS-HCC),,,none,,
Pancytopenia (CMS-HCC),,,none,,
Pancytopenia due to antineoplastic chemotherapy,,,none,,
Pancytopenia due to chemotherapy,,,none,,
Panhypopituitarism (HHS-HCC),,,none,,
Panic anxiety syndrome,,,none,,
Panic attack,,,none,,
Panic attacks,,,none,,
Panic disorder,,,none,,
Panic disorder with agoraphobia,,,none,,
Panlobular emphysema,Emphysema ,J43.9,cause_name,,
Panlobular emphysema (CMS-hcc) >45py,Emphysema ,J43.9,cause_name,,
Pap smear for cervical cancer screening,,,none,,
Papillary conjunctivitis,,,none,,
Papillary fibroelastoma (HHS-HCC),,,none,,
Papillary thyroid carcinoma,,,none,,
Papilloma,,,none,,
Papilloma of left breast,,,none,,
Papilloma of right breast,,,none,,
Paraesophageal hernia,,,none,,
Paraesophageal hiatal hernia,,,none,,
Paralysis,,,none,,
Paralysis of right vocal fold,,,none,,
Paralyzed hemidiaphragm,,,none,,
Paralyzed hemidiaphragm - L side,,,none,,
Paranoid schizophrenia,,,none,,
Paraparesis,,,none,,
Paraphimosis,,,none,,
Paraplegia,,,none,,
Paraspinal mass,,,none,,
Parastomal hernia without obstruction or gangrene,,,none,,
Parathyroid adenoma,,,none,,
Parathyroid disease (HHS-HCC),,,none,,
Parathyroid hormone excess (HHS-HCC),,,none,,
Paresis of right vocal fold,,,none,,
Paresthesia,,,none,,
Paresthesia and pain of left extremity ( along the left medial border of the foot),,,none,,
Paresthesia of both feet,,,none,,
Paresthesia of both hands,,,none,,
Paresthesia of foot,,,none,,
Paresthesia of hand,,,none,,
Paresthesia of left foot,,,none,,
Paresthesia of lower limb,,,none,,
Paresthesia of upper limb,,,none,,
Parietoalveolar pneumopathy,,,none,,
Parkinson disease,,,none,,
Parkinson's disease,,,none,,
Parkinsonian features,,,none,,
Paronychia of toe,,,none,,
Parotid sialolithiasis,,,none,,
Parotid tumor,,,none,,
paroxysmal,,,none,,
paroxysmal (HHS-HCC),,,none,,
Paroxysmal A-fib,,,none,,
Paroxysmal atrial fibrilaltion,,,none,,
Paroxysmal atrial fibrillation,Arrhythmia,I49,none,llm,PAF maps to arrhythmia
Paroxysmal atrial fibrillation (CMS-hcc),,,none,,
Paroxysmal atrial fibrillation (CMS-hcc) in sinus rhythm on amiodarone and xarelto,,,none,,
Paroxysmal atrial fibrillation (CMS-hcc)- s,,,none,,
Paroxysmal atrial fibrillation - Chronic anticoagulation,,,none,,
Paroxysmal atrial fibrillation - HX cardioversion,,,none,,
Paroxysmal atrial fibrillation - s,,,none,,
Paroxysmal atrial fibrillation findings on EP study,,,none,,
Paroxysmal atrial fibrillation s,,,none,,
Paroxysmal atrial fibrillation with rapid ventricular response,,,none,,
Paroxysmal atrial fibrillation with RVR,,,none,,
Paroxysmal atrial fibrillation without recurrence via loop recorder,,,none,,
Paroxysmal atrial fibrillation: on brief episode on event monitor,,,none,,
Paroxysmal atrial flutter,,,none,,
Paroxysmal atrial flutter S,,,none,,
Paroxysmal atrial tachycardia (HHS-HCC),,,none,,
Paroxysmal LBBB,,,none,,
Paroxysmal supraventricular tachycardia (HHS-HCC),,,none,,
Paroxysmal SVT (supraventricular tachycardia) (HHS-HCC),,,none,,
Paroxysmal SVT (supraventricular tachycardia) - s,,,none,,
Paroxysmal tachycardia,,,none,,
part unsp,,,none,,
part unspecified,,,none,,
Partial hamstring tear,,,none,,
partial removal,,,none,,
Partial retinal artery occlusion,,,none,,
Partial small bowel obstruction,,,none,,
Partial tear of common extensor tendon of elbow,,,none,,
Partial tear of rotator cuff,,,none,,
Passive suicidal ideations,,,none,,
PAT (paroxysmal atrial tachycardia) (HHS-HCC),,,none,,
patella,,,none,,
Patellar fracture,,,none,,
Patellar maltracking,,,none,,
Patellar tendinitis of left knee,,,none,,
Patellofemoral arthritis,,,none,,
Patellofemoral arthritis of left knee,,,none,,
Patellofemoral arthritis of right knee,,,none,,
Patellofemoral disorder of left knee,,,none,,
Patellofemoral disorder of right knee,,,none,,
Patellofemoral syndrome of both knees,,,none,,
patent by cardiac catheterization 2011,,,none,,
Patent foramen ovale (HHS-HCC),,,none,,
Patent foramen ovale seen at U of Mich on trans esophageal echo,,,none,,
Patent foramen ovale with atrial septal aneurysm (HHS-HCC),,,none,,
Patent foramen ovale with atrial septal aneurysm s,,,none,,
patent radial,,,none,,
patent vein grafts to diagonal,,,none,,
Pathogenic CHEK2 mutation - c.470 T>C,,,none,,
pathologic,,,none,,
Pathologic fracture of tibia and fibula,,,none,,
Pathological cupping of optic disc of both eyes,,,none,,
Pathological fracture of left femur due to age-related osteoporosis,,,none,,
Pathological fracture of right ankle,,,none,,
Patient is full code,,,none,,
Patient is full code - NO respiratory or artifical feeding,,,none,,
patiient radial,,,none,,
PCABG x5 (LIMA to LAD seq Diag,,,none,,
PCO (posterior capsular opacification),,,none,,
PCO (posterior capsular opacification) - Left Eye,,,none,,
PDA,,,none,,
PDA (patent ductus arteriosus) (HHS-HCC),,,none,,
PDA 2017,,,none,,
PE,,,none,,
PE (pulmonary thromboembolism),,,none,,
Pedal edema,,,none,,
PEG (percutaneous endoscopic gastrostomy) status,,,none,,
PEG tube malfunction,,,none,,
Pelvic abscess in female,,,none,,
Pelvic abscess in male,,,none,,
Pelvic floor dysfunction,,,none,,
Pelvic floor dysfunction in female,,,none,,
Pelvic girdle weakness,,,none,,
Pelvic hematoma,,,none,,
Pelvic mass,,,none,,
Pelvic pain,,,none,,
Pelvic pain in female,,,none,,
pelvic region and thigh,,,none,,
Penicillin allergy,,,none,,
Penile cancer,,,none,,
Penile erosion,,,none,,
Penile lesion,,,none,,
Penile ulcer,,,none,,
Peptic ulcer,,,none,,
Peptic ulcer disease,,,none,,
per cardiology 12,,,none,,
Perceptive hearing loss,,,none,,
Percutaneous transluminal coronary angioplasty status,,,none,,
Perennial allergic rhinitis with seasonal variation,,,none,,
perforated,,,none,,
Perforated appendicitis,,,none,,
Perforated appendix,,,none,,
Perforated duodenal ulcer,,,none,,
Perforated ulcer,,,none,,
Perforated viscus,,,none,,
Perianal abscess,,,none,,
Perianal pain,,,none,,
Pericardial calcification (HHS-HCC),,,none,,
Pericardial cyst (HHS-HCC),,,none,,
Pericardial disease (HHS-HCC),,,none,,
Pericardial effusion (HHS-HCC),,,none,,
Pericardial effusion with cardiac tamponade (HHS-HCC),,,none,,
Pericardial effusion without cardiac tamponade (HHS-HCC),,,none,,
Pericardial effusion- s,,,none,,
Pericardial tamponade (HHS-HCC),,,none,,
Pericarditis (HHS-HCC),,,none,,
Pericarditis with effusion (HHS-HCC),,,none,,
Periodic limb movement,,,none,,
Periorbital ecchymosis,,,none,,
Periorbital ecchymosis of right eye,,,none,,
Periorbital hematoma of left eye,,,none,,
peripheral,,,none,,
Peripheral ...,,,none,,
Peripheral angiopathy due to type 2 diabetes mellitus,Type 2 Diabetes,E11.2,cause_name,,
Peripheral arterial disease (CMS-hcc),,,none,,
Peripheral arterial occlusive disease (CMS-hcc)- aorta-bifemoral bypass graft in 2012,,,none,,
Peripheral artery disease (CMS-hcc),,,none,,
Peripheral circulatory disorder due to type 2 diabetes mellitus,Type 2 Diabetes,E11.2,cause_name,,
Peripheral nerve disease,,,none,,
Peripheral neuritis of both feet,,,none,,
Peripheral neuropathic pain,,,none,,
Peripheral neuropathy,,,none,,
Peripheral neuropathy lower extremity,,,none,,
Peripheral polyneuropathy (CMS-hcc),,,none,,
Peripheral retinal degeneration,,,none,,
Peripheral retinal scars,,,none,,
peripheral sensorimotor axonal,,,none,,
Peripheral vascular disease,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease (CMS-hcc),Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease (CMS-hcc) status post left carotid endarterectomy in December 2023,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease (CMS-hcc)- per podiatry,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease due to secondary diabetes,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease due to secondary diabetes mellitus,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease of extremity with claudication,Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disease with claudication (CMS-hcc),Peripheral Vascular Disease,I73,cause_name,,
Peripheral vascular disorder due to diabetes mellitus,,,none,,
Peripheral venous insufficiency,,,none,,
Peripheral visual field defect of both eyes,,,none,,
Periprosthetic fracture around internal prosthetic left hip joint,,,none,,
Periprosthetic fracture around internal prosthetic right hip joint,,,none,,
Periprosthetic fracture around internal prosthetic right knee joint,,,none,,
Periprosthetic fracture around internal prosthetic right shoulder joint,,,none,,
Periprosthetic fracture of knee,,,none,,
Periprosthetic hip fracture,,,none,,
Perirectal abscess,,,none,,
Peristomal hernia,,,none,,
Peritoneal abscess,,,none,,
Peritoneal dialysis status,,,none,,
Periumbilical hernia,,,none,,
permanent,,,none,,
Permanent atrial fibrillation,,,none,,
Permanent atrial fibrillation s,,,none,,
Pernicious anemia due to autoimmune disorder (HHS-HCC),,,none,,
Peroneal tendinitis,,,none,,
Peroneal tendinitis of left lower extremity,,,none,,
Peroneal tendinitis of lower leg,,,none,,
Peroneal tendonitis,,,none,,
persistent,,,none,,
Persistent A-Fib S,,,none,,
Persistent atrial fibrillation,Arrhythmia,I49,none,llm,
Persistent atrial fibrillation  S,,,none,,
Persistent atrial fibrillation (CMS-hcc),,,none,,
Persistent atrial fibrillation -  Presence of Watchman left atrial appendage closure device,,,none,,
persistent atrial fibrillation s,,,none,,
Persistent atrial fibrillation wir RVR on Xarelto likely 2,,,none,,
Persistent atrial fibrillation with tachy-brady syndrome,,,none,,
Persistent depressive disorder,,,none,,
Persistent diarrhea,,,none,,
Persistent Dizziness and headaches,,,none,,
Persistent dry cough,,,none,,
Persistent pneumonia,,,none,,
Persistent proteinuria,,,none,,
Persistent vomiting,,,none,,
Personal history of breast cancer,,,none,,
Personal history of colon cancer,,,none,,
Personal history of colon cancer (adenocarcinoma ~ 2007),,,none,,
Personal history of colonic polyps,,,none,,
Personal history of colonic polyps (2012 - f,,,none,,
Personal history of coronary artery disease,Coronary Artery Disease,I25,cause_name,,
Personal history of COVID-19,,,none,,
Personal history of DVT (deep vein thrombosis),,,none,,
Personal history of fall,,,none,,
Personal history of malignant neoplasm of bladder,,,none,,
Personal history of malignant neoplasm of breast,,,none,,
Personal history of malignant neoplasm of other parts of uterus,,,none,,
Personal history of nicotine dependence,,,none,,
Personal history of other diseases of the digestive system,,,none,,
Personal history of other mental and behavioral disorders,,,none,,
Personal history of other venous thrombosis and embolism,,,none,,
Personal history of peptic ulcer disease,,,none,,
Personal history of pulmonary embolism,,,none,,
Personal history of pulmonary embolism bilateral,,,none,,
Personal history of skin cancer,,,none,,
Personal history of sudden cardiac arrest,,,none,,
Personal history of tobacco use,,,none,,
Personal history of transient ischemic attack (TIA),,,none,,
Pes anserine bursitis,,,none,,
pes anserinus,,,none,,
Pes anserinus bursitis of both knees,,,none,,
Pes anserinus bursitis of left knee,,,none,,
Pes anserinus bursitis of right knee,,,none,,
Pes cavus,,,none,,
Pes planovalgus,,,none,,
Pes planus,,,none,,
Pessary maintenance,,,none,,
Peyronie disease,,,none,,
Peyronie's disease,,,none,,
PF,,,none,,
PFO (patent foramen ovale),,,none,,
PFO (patent foramen ovale) (HHS-HCC),,,none,,
PFO (patent foramen ovale) status post closure,,,none,,
PFO (patent foramen ovale)- s,,,none,,
PFO closure,,,none,,
PFO CLOSURE by Dr Alnajjar 5,,,none,,
PGP,,,none,,
Phantom limb pain,,,none,,
Phantom pain following amputation of lower limb,,,none,,
Pharmacologic contraindication to deep vein thrombosis (DVT) prophylaxis,,,none,,
Pharyngeal dysphagia,,,none,,
Pharyngitis,,,none,,
Pharyngoesophageal dysphagia,,,none,,
Phimosis,,,none,,
PHN (postherpetic neuralgia),,,none,,
Photopsia,,,none,,
Photopsia + acutely altered mental status,,,none,,
Phthisis bulbi,,,none,,
Physical debility,,,none,,
Physical deconditioning,,,none,,
Pigment dispersion syndrome of both eyes,,,none,,
Pinched nerve in neck,,,none,,
Pinguecula,,,none,,
Pinguecula of both eyes,,,none,,
Pingueculitis of right eye,,,none,,
Piriformis syndrome of left side,,,none,,
Piriformis syndrome of right side,,,none,,
Pituitary adenoma,,,none,,
Pituitary apoplexy (HHS-HCC),,,none,,
Pituitary lesion (HHS-HCC),,,none,,
Pituitary macroadenoma,,,none,,
Pituitary mass (HHS-HCC),,,none,,
Pituitary microadenoma,,,none,,
PKD (polycystic kidney disease),,,none,,
Planovalgus deformity of foot,,,none,,
Plantar callosity,,,none,,
Plantar fascial fibromatosis,,,none,,
Plantar fascial fibromatosis of right foot,,,none,,
Plantar fasciitis,,,none,,
Plantar fasciitis left,,,none,,
Plantar fasciitis of left foot,,,none,,
Plantar fasciitis of right foot,,,none,,
Plantar fat pad atrophy of right foot,,,none,,
Plantar keratosis,,,none,,
Plasma cell disorder,,,none,,
Pleomorphic adenoma of parotid gland,,,none,,
Pleural effusion,Pleural Effusion,J90.0,cause_name,,
Pleural effusion on right,Pleural Effusion,J90.0,cause_name,,
Pleurisy,,,none,,
pleuritic,,,none,,
Pleuritic chest pain,,,none,,
Pleurodynia,,,none,,
Plexiform neurofibroma,,,none,,
Plica syndrome of left knee,,,none,,
PMB (postmenopausal bleeding),,,none,,
PMR (polymyalgia rheumatica) (HHS-HCC),,,none,,
PN (peripheral neuropathy),,,none,,
PND (post-nasal drip),,,none,,
Pneumatosis intestinalis,,,none,,
Pneumatouria,,,none,,
Pneumococcal vaccination declined by patient,,,none,,
Pneumocystis jiroveci pneumonia,,,none,,
Pneumomediastinum,,,none,,
Pneumonia,,,none,,
Pneumonia due to COVID-19 virus,,,none,,
Pneumonia due to COVID-19 virus without hypoxia,,,none,,
Pneumonia due to infectious agent,,,none,,
Pneumonia due to infectious organism,,,none,,
Pneumonia due to organism,,,none,,
Pneumonia of both lower lobes,,,none,,
Pneumonia of both upper lobes due to infectious organism,,,none,,
Pneumonia of left lower lobe due to infectious organism,,,none,,
Pneumonia of right lower lobe due to infectious organism,,,none,,
Pneumonia of right lung due to infectious organism,,,none,,
Pneumonia symptoms,,,none,,
Pneumonitis,,,none,,
Pneumothorax,,,none,,
Pneumothorax after biopsy,,,none,,
Pneumothorax on right,,,none,,
Pneumothorax on right s,,,none,,
Polyarthralgia,,,none,,
Polyarticular psoriatic arthritis,,,none,,
Polychondritis,,,none,,
Polycystic kidney disease,,,none,,
Polycystic kidney disease with congenital hepatic fibrosis,,,none,,
Polycystic liver disease,,,none,,
Polycythemia,,,none,,
Polycythemia vera,,,none,,
Polyethylene liner wear following total knee arthroplasty requiring isolated polyethylene liner exchange,,,none,,
Polyethylene wear of knee joint prosthesis (CMS-hcc),,,none,,
Polyethylene wear of left knee joint prosthesis (CMS-hcc),,,none,,
polymorphic,,,none,,
Polymorphic ventricular tachycardia,,,none,,
Polymorphous light eruption,,,none,,
Polymyalgia rheumatica (HHS-HCC),,,none,,
Polyneuropathy,,,none,,
Polyneuropathy associated with underlying disease (HHS-HCC),,,none,,
Polyneuropathy due to type 2 diabetes mellitus,Type 2 Diabetes,E11.2,cause_name,,
Polyneuropathy in other diseases classified elsewhere (HHS-HCC),,,none,,
Polyp of ascending colon,,,none,,
Polyp of colon,,,none,,
Polyp of descending colon,,,none,,
Polyp of esophagus,,,none,,
Polyp of nasal cavity,,,none,,
Polyp of nasal sinus,,,none,,
Polyp of paranasal sinus,,,none,,
Polyp of small intestine,,,none,,
Polyp of stomach,,,none,,
Polyp of stomach and duodenum,,,none,,
Polypharmacy,,,none,,
Polypoid degeneration of vocal cord,,,none,,
Polyposis associated with heterozygous mutation in MUTYH gene,,,none,,
Polysubstance abuse (CMS-HCC),,,none,,
Polysubstance dependence,,,none,,
Polyuria,,,none,,
Poor appetite,,,none,,
Poor eating habits,,,none,,
Poor mobility,,,none,,
Poor nutrition,,,none,,
Poor sleep pattern,,,none,,
Poor urinary stream,,,none,,
poorly controlled,,,none,,
Poorly controlled diabetes mellitus,,,none,,
Poorly controlled type 2 diabetes mellitus with peripheral neuropathy,Type 2 Diabetes,E11.2,cause_name,,
Popliteal aneurysm (CMS-hcc),,,none,,
Popliteal artery aneurysm,,,none,,
Popliteal artery aneurysm (CMS-hcc),,,none,,
Popliteal artery occlusion,,,none,,
Popliteal artery stenosis (CMS-hcc),,,none,,
Porcelain gallbladder,,,none,,
Porokeratosis,,,none,,
Porokeratosis left foot,,,none,,
Portal hypertension,,,none,,
Portal vein thrombosis,,,none,,
pos ln 3 0ut of 20,,,none,,
Positive ANA (antinuclear antibody),,,none,,
Positive blood culture,,,none,,
positive cardiac stress test,,,none,,
Positive colorectal cancer screening using Cologuard test,,,none,,
Positive D-dimer,,,none,,
Positive dysphotopsia,,,none,,
Positive fecal occult blood test,,,none,,
Positive hepatitis C antibody test,,,none,,
Positive QuantiFERON-TB Gold test,,,none,,
Positive screening for depression on 9-item Patient Health Questionnaire (PHQ-9),,,none,,
possible,,,none,,
Possible colonic mass within mid transverse colon noted on imaging,,,none,,
possible gallstone etiology,,,none,,
Possible partial small bowel obstruction (CMS-hcc),,,none,,
Possible Superimposed CAP,,,none,,
possible syncopal episode,,,none,,
Post concussive syndrome,,,none,,
Post corneal transplant,,,none,,
Post herpetic neuralgia,,,none,,
Post herpetic neuralgia left sciatic,,,none,,
post op,,,none,,
post op paroxysmal Atrial Fibrillation,,,none,,
Post OP-hyperglycemia,,,none,,
Post operative atrial fibrillation,,,none,,
post procedure with stent,,,none,,
post surgery,,,none,,
Post traumatic stress disorder (PTSD),,,none,,
Post-concussion headache,,,none,,
Post-concussion vertigo,,,none,,
